customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
3183-HAVLB,Female,0,Yes,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,29.74,85.77,1
2056-RGZQV,Female,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Two year,No,Credit card (automatic),93.05,6414.87,0
7975-WNXGV,Female,0,No,No,32,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),27.67,900.26,1
1582-YCFTB,Female,0,No,No,61,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,18.25,1113.38,0
6255-QLLQJ,Female,0,Yes,No,19,Yes,No,DSL,No,No,No,No,Yes,Yes,Two year,No,Mailed check,73.28,1373.98,0
6397-CTRML,Female,0,No,No,10,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,Yes,Mailed check,99.12,991.25,0
6229-QDWJK,Male,0,No,No,68,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,48.1,3279.69,0
5067-FFIOB,Male,1,Yes,Yes,4,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,106.92,420.94,1
3303-DEQHH,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.25,1198.85,0
1360-VLUHS,Male,0,No,No,65,Yes,No,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,77.51,5026.5,0
4522-CRUSS,Male,0,Yes,Yes,7,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),73.96,523.68,1
2746-OFPHP,Male,0,No,No,23,Yes,No,DSL,No,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),61.61,1418.58,1
6696-RTPKG,Female,0,Yes,No,44,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,66.46,2904.76,1
4837-QQLMJ,Female,0,No,No,31,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,93.79,2877.1,1
4898-GNWAQ,Female,0,No,No,66,No,No phone service,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Electronic check,87.36,5776.05,0
2483-DUETX,Male,1,Yes,No,8,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),87.47,715.01,1
7383-WYGJQ,Female,0,Yes,Yes,12,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,No,Electronic check,110.22,1320.58,1
4460-GAGZX,Male,0,No,No,56,No,No phone service,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),107.99,6029.27,0
2790-KILCD,Female,0,No,No,26,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),41.29,1069.34,1
5482-DYMWS,Female,0,No,No,55,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,67.83,3725.93,0
2720-JEGXP,Male,0,Yes,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.87,658.36,1
7811-ALBGK,Female,0,Yes,Yes,38,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),89.34,3383.89,1
9289-MBGOY,Male,0,Yes,No,72,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),76.55,5476.35,0
3087-KBGDK,Female,0,Yes,No,3,Yes,Yes,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,83.83,261.06,0
2631-BPGME,Female,0,Yes,No,20,Yes,No,DSL,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.98,1467.13,1
2078-QULSG,Female,1,No,No,7,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,27.56,200.03,1
6133-FHMEB,Male,0,Yes,No,6,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),44.77,255.74,1
3968-IKXFZ,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,91.54,110.84,1
2162-GYGSF,Male,0,Yes,Yes,28,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.94,513.39,1
6717-KKGBS,Male,0,No,No,50,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),24.86,1272.86,0
7017-DZFQY,Male,0,No,Yes,70,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,41.06,2865.31,0
9402-EGIYA,Female,0,No,No,54,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),109.57,5920.03,0
3321-ASFRJ,Female,0,Yes,No,9,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),86.49,767.21,1
7572-KAAME,Female,0,Yes,No,71,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,18.25,1296.02,0
4538-TATCR,Female,0,No,Yes,66,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Mailed check,111.7,7369.72,0
8435-INQWN,Female,0,No,Yes,40,Yes,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,No,Credit card (automatic),70.4,2775.72,1
3214-DEZUQ,Male,0,Yes,No,23,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),70.48,1618.66,1
7220-VYBWV,Male,0,No,No,36,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.16,3388.75,1
2642-EDDFT,Male,0,No,No,3,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,66.12,181.45,1
3883-UMVEW,Male,0,No,Yes,14,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,60.91,835.48,1
1763-YZWGT,Male,0,No,No,70,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,102.59,7192.14,1
3592-ANXDQ,Male,0,Yes,Yes,58,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Electronic check,79.21,4605.55,0
4337-UNPNP,Female,0,No,No,25,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Mailed check,70.95,1757.5,0
6662-XTHXC,Male,0,Yes,No,70,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Bank transfer (automatic),56.18,3946.83,0
6781-YSABO,Male,1,No,Yes,41,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),66.21,2709.55,0
1248-VJRVN,Male,0,Yes,No,38,No,No phone service,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),68.55,2615.42,0
1315-QMAEZ,Male,1,No,No,3,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,49.73,0
7318-MYNXC,Female,0,Yes,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,26.23,287.07,1
2730-OSQCP,Male,0,No,No,11,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),89.52,973.1,1
8453-NLLKQ,Female,0,No,No,44,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,90.19,3986.02,1
4838-HQUYW,Female,0,Yes,No,2,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.62,218.44,1
2393-TKYYB,Male,0,Yes,No,10,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.87,260.73,1
3818-JJKFD,Male,0,No,No,10,Yes,Yes,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),57.53,589.06,1
8997-XLKWW,Female,0,Yes,Yes,4,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,89.06,331.58,0
4548-ZYMEF,Male,0,No,No,9,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),58.07,530.32,1
4019-AFRVI,Male,0,No,No,29,Yes,Yes,DSL,Yes,No,Yes,No,No,No,One year,Yes,Credit card (automatic),59.67,1739.03,0
9606-XYOZH,Male,0,Yes,Yes,62,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),53.28,3301.92,1
6694-SXPFF,Female,0,No,No,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),18.25,1127.61,1
1093-VCJAN,Male,0,No,No,66,No,No phone service,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),55.87,3666.0,0
8289-DZLFK,Female,1,Yes,Yes,32,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Credit card (automatic),83.19,2675.47,1
2671-LJRGG,Female,0,Yes,No,71,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,Yes,Electronic check,96.01,6823.79,1
8844-KDTAM,Female,0,No,No,72,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,One year,No,Mailed check,103.29,7414.72,1
1764-RIZXX,Male,0,Yes,Yes,34,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),103.71,3522.46,0
1879-IWIJB,Female,0,Yes,No,1,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,52.0,56.82,1
9073-FOCKF,Male,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.29,596.08,0
1080-CXKOM,Female,0,No,Yes,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,Yes,Mailed check,111.61,141.93,1
5394-TJFOY,Male,0,No,Yes,14,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Electronic check,91.12,1280.57,1
9246-RRGOR,Male,0,No,No,19,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Mailed check,111.99,2127.38,0
9929-RTIXB,Female,0,Yes,No,69,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,77.62,5348.1,0
3997-HTBKZ,Female,0,No,No,20,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),79.47,1580.96,1
2919-GFJEK,Female,0,No,Yes,35,Yes,No,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Electronic check,90.65,3162.9,0
6023-ABXAS,Male,0,No,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,18.25,894.45,0
1730-BUTWU,Male,1,No,No,62,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),105.97,6581.18,1
5900-XDLVT,Male,0,Yes,Yes,4,No,No phone service,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),78.58,312.99,1
7643-RAAXN,Female,1,Yes,Yes,5,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),100.11,484.18,1
6279-DEKXW,Male,0,No,No,3,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Credit card (automatic),100.47,284.73,1
6711-MPXMX,Male,0,No,No,13,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,82.67,1098.21,1
8990-VZBPF,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.25,1316.63,1
1212-NAQKS,Female,0,Yes,No,30,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.28,2263.2,1
7972-CKEQZ,Female,0,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),96.49,373.6,1
5789-VGJKC,Male,0,Yes,No,13,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),103.9,1355.74,1
7388-TJJNL,Female,0,No,No,72,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),104.3,7508.61,1
2840-OJJZS,Female,0,Yes,No,66,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,103.61,6847.31,1
6621-AXZJB,Female,0,Yes,No,4,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,74.64,300.84,1
9974-QXGGT,Female,1,Yes,No,8,Yes,Yes,DSL,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,83.28,648.72,1
9752-IVBNQ,Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Electronic check,100.04,1101.29,1
8518-AITUS,Female,1,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,338.81,0
2550-DHMDI,Female,0,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,85.35,1438.05,1
1509-IVRLJ,Female,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.25,33.23,1
7251-KGIFS,Female,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),80.11,142.1,0
8371-POGPE,Male,0,Yes,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,18.25,91.57,1
8942-PASEG,Male,0,No,No,64,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),103.41,6619.17,1
1267-SVEQZ,Female,0,Yes,No,4,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),44.41,172.28,0
3548-VHABO,Female,0,Yes,No,17,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.05,343.47,0
8853-TRKYJ,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),22.49,22.49,1
1321-XXDED,Female,0,Yes,No,69,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Mailed check,91.01,6276.17,0
3083-MYMRX,Male,0,No,Yes,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.49,45.77,0
5011-BPAZS,Female,0,No,No,65,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,58.32,3789.01,0
4780-ICYGJ,Male,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,26.62,1713.05,0
7345-AJUIO,Male,1,No,No,12,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,100.08,1209.71,1
1088-OCYEI,Male,0,Yes,No,49,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),90.45,4462.02,0
9895-ZVIWG,Male,0,Yes,Yes,8,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),25.42,208.46,0
2603-XWLYI,Male,0,No,Yes,5,Yes,No,DSL,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),53.41,294.41,0
7828-FWBIQ,Male,0,No,No,16,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,73.37,1151.55,1
2718-ASFEB,Female,0,No,No,57,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,115.63,6595.21,1
2877-IZNDD,Female,0,Yes,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.77,1447.55,0
5739-UOHZD,Male,0,Yes,No,61,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Electronic check,63.14,3859.85,1
2670-PUDPV,Female,0,No,No,15,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,97.94,1460.28,1
8175-LPSHF,Male,1,Yes,No,1,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,80.32,80.32,1
8838-JERJJ,Female,0,No,No,9,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,85.12,767.56,0
2649-GRAGU,Male,0,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Bank transfer (automatic),89.24,4004.27,0
4154-AODTJ,Male,0,No,No,15,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,18.25,259.98,0
7511-WIBNP,Female,0,No,No,67,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),90.64,6056.33,1
3531-ABGJV,Male,1,No,No,11,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.37,230.7,1
9942-TAMAE,Female,0,No,Yes,4,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,No,Mailed check,98.82,381.24,0
2954-POQWP,Male,0,No,No,65,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,One year,No,Electronic check,84.33,5487.36,1
1554-MKQQB,Female,1,No,No,62,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),99.92,6196.95,1
6364-MNKJC,Female,0,No,No,13,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,Yes,Electronic check,60.78,799.77,1
2322-QOIJH,Female,0,Yes,Yes,64,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Mailed check,57.28,3663.06,1
1733-UMREF,Female,0,Yes,No,3,Yes,Yes,Fiber optic,Yes,No,No,Yes,No,No,One year,No,Mailed check,104.14,319.16,1
8655-QKTPI,Female,0,No,Yes,8,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Mailed check,85.69,680.38,1
5315-BEADD,Male,0,No,No,63,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,106.11,6690.06,0
6284-VZYCI,Male,1,No,Yes,7,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),94.97,630.39,1
9388-VWLJB,Female,0,No,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,24.19,1585.57,0
9340-KJVFR,Male,1,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,90.28,3324.65,1
6259-BBJPL,Male,0,Yes,No,3,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,58.98,163.86,1
8936-AUHPR,Female,0,No,No,58,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Two year,Yes,Bank transfer (automatic),92.53,5392.94,1
2656-MOULH,Female,0,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),88.37,1573.29,1
6211-JNERS,Male,0,No,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,18.72,1254.54,1
7947-OFKUK,Female,0,Yes,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),21.58,661.91,0
7671-TTURY,Female,0,Yes,Yes,67,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),105.21,7052.68,0
4753-RJBZI,Female,0,Yes,No,71,Yes,No,DSL,No,No,Yes,No,Yes,No,Two year,Yes,Bank transfer (automatic),53.8,3811.15,0
1095-NSJWD,Male,0,Yes,No,67,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),104.12,6968.22,0
4677-FNDZO,Female,1,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),22.66,768.1,0
9054-PGQSS,Male,0,Yes,No,63,Yes,No,DSL,No,No,Yes,No,No,Yes,One year,Yes,Electronic check,59.59,3769.88,0
5128-QFKPY,Female,0,No,No,2,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),18.25,33.32,1
7382-HKGZX,Male,0,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Two year,No,Credit card (automatic),98.15,98.15,1
5593-VYSZJ,Female,0,No,Yes,34,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,21.54,745.52,0
5447-IDWOM,Female,1,No,No,17,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),94.78,1608.88,1
3574-YBBPI,Female,0,No,No,69,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,110.84,7644.96,0
5466-MCIMU,Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),106.92,7475.08,0
9913-VBHIP,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,19.42,266.17,0
1169-BFVHZ,Male,0,No,Yes,64,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Mailed check,108.54,6958.95,1
7787-EIAIJ,Male,0,No,Yes,55,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),83.05,4565.58,1
1828-WDCJO,Female,0,Yes,Yes,68,Yes,Yes,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,74.02,5026.82,1
2038-KNFLM,Female,0,Yes,No,66,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.25,1210.93,0
2740-QPCBK,Male,0,No,Yes,40,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),93.5,3714.45,1
2090-ICRTO,Male,0,No,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),18.25,897.69,0
2156-NBQVZ,Male,0,No,Yes,6,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,26.1,153.54,1
5510-HJZRY,Male,0,No,Yes,5,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),87.76,442.21,1
4296-SHHCC,Male,0,Yes,Yes,53,Yes,No,DSL,No,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),61.48,3266.03,0
2263-LVQDQ,Male,1,No,No,24,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,20.85,462.51,0
9519-NSIUL,Female,0,Yes,Yes,70,Yes,No,DSL,Yes,No,No,No,No,No,One year,Yes,Electronic check,62.81,4382.48,0
7014-EKTCU,Male,0,Yes,Yes,37,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,One year,No,Credit card (automatic),68.96,2547.91,0
9659-ONKTH,Male,0,No,Yes,12,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),50.88,614.02,1
8598-DLHFO,Male,0,Yes,No,70,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,52.46,3688.64,1
8087-LPPUT,Female,0,Yes,No,6,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.39,102.84,1
5694-TDKMI,Male,0,No,No,9,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),54.34,497.4,1
4006-DLIMP,Female,0,Yes,Yes,26,No,No phone service,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,47.66,1201.68,1
7779-ZFJMG,Female,0,Yes,Yes,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),78.03,5166.52,1
2568-ZSXSQ,Male,0,Yes,No,63,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,86.5,5436.49,0
